"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001240179","아가씨와 밤 :기욤 뮈소 장편소설","기욤 뮈소 [지음]","밝은세상","2018","9788984373617","8","12"
"000000786756","사피엔스 :유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문","유발 하라리 [지음]","김영사","2015","9788934972464","9","11"
"000001297078","여행의 이유 :김영하 산문","김영하 [지음]","문학동네","2019","9788954655972","8","11"
"000000541851","소년이 온다 :한강 장편소설","한강 [지음]","창비","2014","9788936434120","8","10"
"000000681654","도시는 무엇으로 사는가 :도시를 보는 열다섯 가지 인문적 시선","유현준 지음","을유문화사","2015","9788932472959","3","9"
"000001240130","걷는 사람 하정우","하정우 글?사진","문학동네","2018","9788954653817","8","8"
"000001303360","나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계","유목민 지음","리더스북 : 웅진씽크빅","2019","9788901230801","3","8"
"000001031897","신경 끄기의 기술 :인생에서 가장 중요한 것만 남기는 힘","마크 맨슨 지음","웅진씽크빅: 갤리온","2017","9788901219943","1","7"
"000001314602","역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰","최태성 지음","다산초당: 다산북스","2019","9791130621968","9","7"
"000001342873","지쳤거나 좋아하는 게 없거나","글배우 지음","강한별","2019","9791196797706","8","7"
"000001304062","나는 소망한다 내게 금지된 것을 :양귀자 장편소설","양귀자 [지음]","쓰다","2019","9788998441074","8","6"
"000000270510","나미야 잡화점의 기적 :히가시노 게이고 장편소설","히가시노 게이고 지음","현대문학","2012","9788972756194","8","6"
"000001182316","날씨가 좋으면 찾아가겠어요 :이도우 장편소설","이도우 [지음]","시공사","2018","9788952791160","8","6"
"000001295466","대한민국 청약지도 :한 권으로 끝내는 청약 당첨 전략의 모든 것","정지영 지음","다산북스","2019","9791130621128","3","6"
"000000941718","돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설","야쿠마루 가쿠 지음","북플라자(Book plaza)","2017","9788998274795","8","6"
"000000804599","보건교사 안은영 :정세랑 장편소설","정세랑 [지음]","민음사","2015","9788937473098","8","6"
"000001240178","썅년의 미학","민서영 글?그림","위즈덤하우스","2018","9791162207505","3","6"
"000001277796","여자 둘이 살고 있습니다 :혼자도 결혼도 아닌 조립식 가족의 탄생","김하나","위즈덤하우스: 위즈덤하우스 미디어그룹","2019","9791189709815","8","6"
"000000681015","이토록 공부가 재미있어지는 순간","박성혁 지음","다산3.0","2015","9791130604626","3","6"
"000001137504","죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이","백세희 [지음]","흔","2018","9791196394509","8","6"
"000001312347","천년의 질문 :조정래 장편소설 .1","조정래 [저]","해냄: 해냄출판사","2019","9788965746829","8","6"
"000001312349","천년의 질문 :조정래 장편소설 .3","조정래 [저]","해냄: 해냄출판사","2019","9788965746843","8","6"
"000001103796","하마터면 열심히 살 뻔했다 :야매 득도 에세이","하완 지음","웅진지식하우스","2018","9788901223032","8","6"
"000001303320","(50대 사건으로 보는) 돈의 역사 =The history of Money","홍춘욱 지음","Rok Media(로크미디어)","2019","9791135422225","3","5"
"000001147194","(댄 애리얼리) 부의 감각","댄 애리얼리","청림출판","2018","9788935212224","3","5"
"000001242191","(잠든 사이 월급 버는) 미국 배당주 투자 :안정된 수익 내는 배당투자의 나침반","홍승초","베가북스","2019","9791186137864","3","5"
"000001231286","(재무제표와 돈의 흐름이 보이는) 하마터면 회계를 모르고 일할 뻔했다!","김수헌","어바웃어북(About a book)","2018","9791187150473","3","5"
"000000759665","개인주의자 선언 :판사 문유석의 일상유감","문유석 [지음]","문학동네","2015","9788954637756","3","5"
"000000932713","나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list","김수현 글?그림","마음의숲","2016","9791187119845","8","5"
"000001318628","대도시의 사랑법 :박상영 연작소설","박상영 [지음]","창비","2019","9788936437978","8","5"
"000001150646","모스크바의 신사 :에이모 토울스 장편소설","에이모 토울스 [지음]","현대문학","2018","9788972758945","8","5"
"000000312334","밤이 선생이다 :황현산 산문집","황현산 [지음]","문학동네: 난다","2013","9788954621496","8","5"
"000001185774","방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술","조원재 지음","백도씨: 블랙피쉬","2018","9788968331862","6","5"
"000000298646","브람스를 좋아하세요..","프랑수아즈 사강 지음","민음사","2011","9788937461798","8","5"
"000000896435","사서함 110호의 우편물 : 이도우 장편소설  ","이도우 [지음]","시공사","2016","9788952782076","8","5"
"000001313589","사소한 변화","히가시노 게이고 [지음]","비채 : 김영사","2019","9788934984566","8","5"
"000001280279","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가","제임스 클리어 지음","비즈니스북스","2019","9791162540640","1","5"
"000000523355","악플을 달면 판사님을 만날 수 있다고? : 법학","김욱 글","비룡소","2014","9788949153568","0","5"
"000000858107","언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다","이기주 [지음]","말글터","2016","9791195522125","8","5"
"000001318311","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설","김초엽 지음","허블","2019","9791190090018","8","5"
"000001131094","원칙","레이 달리오 지음","한빛비즈","2018","9791157842636","3","5"
"000001311391","이기적 유전자","리처드 도킨스 지음","을유문화사","2018","9788932473901","4","5"
"000001348049","일의 기쁨과 슬픔 :장류진 소설집","장류진 [지음]","창비","2019","9788936438036","8","5"
"000001318318","잊기 좋은 이름 :김애란 산문","김애란 [지음]","열림원","2019","9791170400011","8","5"
"000001297050","잠중록 :처처칭한 장편소설 .1","처처칭한 [지음]","arte : 북이십일 아르테","2019","9788950979492","8","5"
"000000720138","정리하는 뇌 :디지털 시대 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술","대니얼 J. 레비틴 지음","와이즈베리","2015","9788937837654","1","5"
"000000523807","줄기세포로 나를 다시 만든다고? : 의학","예병일 글","비룡소","2014","9788949153575","0","5"
"000000693164","지적 대화를 위한 넓고 얕은 지식 철학 과학 예술 종교 신비 편","채사장 지음","한빛비즈","2015","9788994120997","0","5"
"000001312348","천년의 질문 :조정래 장편소설 .2","조정래 [저]","해냄: 해냄출판사","2019","9788965746836","8","5"
